etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	20	0	0	 0
-2.1	-1.6	10	20	0	0	 0
-1.6	-1.2	10	20	0	0	 0
-1.2	-0.8	10	20	0	0	 0
-0.8	-0.3	10	20	0	0	 0
-0.3	-0.2	10	20	0	0	 0
-0.2	0.2	10	20	0	0	 0
0.2	0.3	10	20	0	0	 0
0.3	0.8	10	20	0	0	 0
0.8	1.2	10	20	0	0	 0
1.2	1.6	10	20	0	0	 0
1.6	2.1	10	20	0	0	 0
2.1	2.4	10	20	0	0	 0
-2.4	-2.1	20	21	0	0	 0
-2.1	-1.6	20	21	0	0	 0
-1.6	-1.2	20	21	0	0	 0
-1.2	-0.8	20	21	0	0	 0
-0.8	-0.3	20	21	0	0	 0
-0.3	-0.2	20	21	0	0	 0
-0.2	0.2	20	21	0	0	 0
0.2	0.3	20	21	0	0	 0
0.3	0.8	20	21	0	0	 0
0.8	1.2	20	21	0	0	 0
1.2	1.6	20	21	0	0	 0
1.6	2.1	20	21	0	0	 0
2.1	2.4	20	21	0	0	 0
-2.4	-2.1	21	22	0	0	 0
-2.1	-1.6	21	22	0	0	 0
-1.6	-1.2	21	22	0	0	 0
-1.2	-0.8	21	22	0	0	 0
-0.8	-0.3	21	22	0	0	 0
-0.3	-0.2	21	22	0	0	 0
-0.2	0.2	21	22	0	0	 0
0.2	0.3	21	22	0	0	 0
0.3	0.8	21	22	0	0	 0
0.8	1.2	21	22	0	0	 0
1.2	1.6	21	22	0	0	 0
1.6	2.1	21	22	0	0	 0
2.1	2.4	21	22	0	0	 0
-2.4	-2.1	22	23	0	0	 0
-2.1	-1.6	22	23	0	0	 0
-1.6	-1.2	22	23	0	0	 0
-1.2	-0.8	22	23	0	0	 0
-0.8	-0.3	22	23	0	0	 0
-0.3	-0.2	22	23	0	0	 0
-0.2	0.2	22	23	0	0	 0
0.2	0.3	22	23	0	0	 0
0.3	0.8	22	23	0	0	 0
0.8	1.2	22	23	0	0	 0
1.2	1.6	22	23	0	0	 0
1.6	2.1	22	23	0	0	 0
2.1	2.4	22	23	0	0	 0
-2.4	-2.1	23	24	0.120666	0.0171624	 0.0158534
-2.1	-1.6	23	24	0.0925054	0.0111664	 0.0104068
-1.6	-1.2	23	24	0.058173	0.0102311	 0.00921612
-1.2	-0.8	23	24	0.059815	0.011525	 0.0107309
